DATAFLOW,LAST UPDATE,freq,currency,prod_veg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2001,10.43,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2002,8.16,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2003,10.69,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2004,11.75,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2005,7.94,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2006,8.68,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2007,15.25,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2008,15.98,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2009,10.76,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2010,12.50,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2011,16.71,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2012,20.67,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2013,16.12,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2014,16.06,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2015,15.59,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2016,14.06,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2017,15.47,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2018,15.40,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2019,15.21,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2020,16.76,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2021,20.45,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2022,31.08,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2023,21.23,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Cyprus,2020,19.66,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Cyprus,2021,23.79,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Cyprus,2022,38.38,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Cyprus,2023,24.50,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2000,9.56,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2001,11.54,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2002,11.03,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2003,10.60,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2004,12.23,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2005,9.23,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2006,10.93,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2007,16.49,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2008,20.48,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2009,10.93,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2010,13.42,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2011,20.49,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2012,20.08,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2013,20.36,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2014,16.27,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2015,15.84,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2016,13.69,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2017,14.51,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2018,15.99,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2019,16.95,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2020,15.76,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2021,19.58,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2022,30.98,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2023,24.29,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2000,11.81,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2001,11.38,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2002,10.43,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2003,11.13,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2004,11.81,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2005,9.35,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2006,11.18,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2007,17.52,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2008,18.64,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2009,11.26,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2010,14.95,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2011,20.86,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2012,21.87,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2013,20.26,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2014,16.89,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2015,16.15,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2016,14.05,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2017,15.13,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2018,16.84,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2019,16.69,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2020,17.21,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2021,21.96,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2022,32.10,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Germany,2023,25.64,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2000,11.93,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2001,11.87,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2002,10.50,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2003,10.75,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2004,12.66,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2005,10.13,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2006,10.98,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2007,16.60,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2008,20.39,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2009,12.09,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2010,13.16,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2011,19.33,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2012,20.72,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2013,20.50,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2014,16.62,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2015,15.50,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2016,14.10,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2017,14.97,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2018,16.85,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2019,17.97,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2020,16.64,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2021,19.48,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2022,26.93,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2023,25.17,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2000,10.71,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2001,11.59,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2002,10.31,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2003,11.41,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2004,11.17,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2005,9.77,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2006,11.18,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2007,18.29,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2008,15.55,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2009,10.44,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2010,15.60,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2011,18.67,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2012,21.01,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2013,19.26,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2014,19.25,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2015,15.97,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2016,14.64,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2017,15.50,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2018,16.41,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2019,16.79,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2020,16.78,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2021,21.10,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2022,32.02,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2023,23.80,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Greece,2000,13.72,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Greece,2001,14.87,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Greece,2002,14.00,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Greece,2003,14.19,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Greece,2004,14.18,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Greece,2005,14.12,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Greece,2006,14.07,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Greece,2007,23.51,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Greece,2008,22.60,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Greece,2009,13.50,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Greece,2010,16.46,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Greece,2011,22.50,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Greece,2012,23.2,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Greece,2013,21.55,
ESTAT:APRI_AP_CRPOUTA(1.0),03/12/24 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Greece,2014,19.07,
